class,release,loc,comment density,wcm,number of attributes,fan-in,fan-out,cbo,normalized lcom,rfc,creation age,last update age,total loc touched,release loc touched,normalized total churn,normalized release churn,total number of commits,release number of commits,total number of authors,release number of authors,total number of fixes,release number of fixes,average commit change density,number of smells,buggy
storm-core\src\jvm\storm\trident\util\ErrorEdgeFactory.java,1,9,0.0,1,0,1,1,1,0.0,0,1,0,11,11,1.2222222,1.2222222,1,1,1,1,0,0,1.2222222,0,false
storm-core\src\jvm\backtype\storm\drpc\DRPCSpout.java,1,135,0.0074074073,24,5,3,23,16,0.625,30,1,0,152,152,1.1259259,1.1259259,1,1,1,1,0,0,1.1259259,1,false
storm-core\src\jvm\backtype\storm\transactional\state\RotatingTransactionalState.java,1,109,0.055045873,1,0,0,0,0,0.0,0,1,0,132,132,1.2110091,1.2110091,1,1,1,1,0,0,1.2110091,6,false
storm-core\src\jvm\backtype\storm\topology\base\BaseBasicBolt.java,1,12,0.0,2,0,7,3,3,0.0,0,1,0,16,16,1.3333334,1.3333334,1,1,1,1,0,0,1.3333334,2,false
storm-core\src\jvm\backtype\storm\generated\StateSpoutSpec.java,1,352,0.07102273,11,3,0,1,1,0.6111111,5,1,0,427,427,1.2130681,1.2130681,1,1,1,1,0,0,1.2130681,47,false
storm-core\src\jvm\backtype\storm\topology\OutputFieldsDeclarer.java,1,10,0.3,4,0,46,1,1,0.0,0,1,0,15,15,1.5,1.5,1,1,1,1,0,0,1.5,4,false
storm-core\src\jvm\storm\trident\fluent\GroupedStream.java,1,128,0.0,26,2,1,21,19,0.65384614,22,1,0,157,157,1.2265625,1.2265625,1,1,1,1,0,0,1.2265625,0,false
storm-core\src\jvm\storm\trident\tuple\ComboList.java,1,63,0.0,1,2,0,0,0,0.0,0,1,0,75,75,1.1904762,1.1904762,1,1,1,1,0,0,1.1904762,0,false
storm-core\src\jvm\backtype\storm\messaging\TransportFactory.java,1,29,0.20689656,3,1,1,3,3,0.0,9,1,0,40,40,1.3793104,1.3793104,1,1,1,1,0,0,1.3793104,5,false
storm-core\src\jvm\storm\trident\spout\RichSpoutBatchTriggerer.java,1,135,0.0074074073,6,1,0,8,6,0.25,7,1,0,160,160,1.1851852,1.1851852,1,1,1,1,0,0,1.1851852,2,false
storm-core\src\jvm\backtype\storm\security\auth\SaslTransportPlugin.java,1,107,0.2990654,4,2,3,12,10,0.8333334,7,1,0,143,143,1.3364486,1.3364486,1,1,1,1,0,0,1.3364486,8,false
storm-core\src\jvm\backtype\storm\testing\KeyedSummingBatchBolt.java,1,38,0.0,5,3,0,10,8,0.5,8,1,0,44,44,1.1578947,1.1578947,1,1,1,1,0,0,1.1578947,0,false
storm-core\src\jvm\backtype\storm\generated\SpoutStats.java,1,640,0.0640625,12,3,0,1,1,0.6111111,5,1,0,756,756,1.18125,1.18125,1,1,1,1,0,0,1.18125,129,false
