class,release,loc,comment density,wcm,number of attributes,fan-in,fan-out,cbo,normalized lcom,rfc,creation age,last update age,total loc touched,release loc touched,normalized total churn,normalized release churn,total number of commits,release number of commits,total number of authors,release number of authors,total number of fixes,release number of fixes,average commit change density,number of smells,buggy
storm-core\src\jvm\backtype\storm\hooks\info\SpoutFailInfo.java,4,27,0.037037037,1,3,2,0,0,0.0,0,4,2,30,0,1.1111112,0.0,2,0,2,0,0,0,0.5555556,0,false
storm-core\src\jvm\backtype\storm\topology\base\BasePartitionedTransactionalSpout.java,4,21,0.0,0,0,0,3,3,0.0,0,4,2,25,0,1.1904762,0.0,2,0,2,0,0,0,0.5952381,2,false
storm-core\src\jvm\backtype\storm\utils\RotatingMap.java,4,105,0.104761906,1,0,0,2,2,0.0,0,4,2,124,0,1.1809524,0.0,2,0,2,0,0,0,0.5904762,3,false
external\storm-kafka\src\test\storm\kafka\TridentKafkaTest.java,4,75,0.0,6,6,1,15,15,0.5416667,13,1,0,124,124,1.6533333,1.6533333,4,4,2,2,1,1,0.41333333,3,false
external\storm-kafka\src\jvm\storm\kafka\bolt\mapper\TupleToKafkaMapper.java,4,27,0.18518518,2,0,2,3,3,0.0,0,1,0,32,32,1.1851852,1.1851852,1,1,1,1,0,0,1.1851852,0,false
storm-core\src\jvm\backtype\storm\utils\Utils.java,4,394,0.040609136,89,3,55,37,21,0.9705882,99,4,0,760,174,1.928934,0.44162437,27,8,10,4,1,1,0.091854,17,true
external\storm-kafka\src\jvm\storm\kafka\PartitionManager.java,4,242,0.024793388,40,18,8,24,18,0.71291876,50,2,0,183,20,0.75619835,0.08264463,9,4,4,2,2,1,0.09452479,18,true
storm-core\src\jvm\storm\trident\planner\PartitionNode.java,4,44,0.022727273,3,1,2,7,5,0.0,8,4,2,52,0,1.1818181,0.0,2,0,2,0,0,0,0.59090906,2,false
storm-core\src\jvm\storm\trident\operation\Operation.java,4,23,0.0,2,0,13,1,1,0.0,0,4,2,26,0,1.1304348,0.0,2,0,2,0,0,0,0.5652174,0,false
examples\storm-starter\src\jvm\storm\starter\ManualDRPC.java,4,56,0.0,1,0,0,10,8,0.0,7,2,1,17,0,0.30357143,0.0,2,0,1,0,0,0,0.30357143,1,false
storm-core\src\jvm\storm\trident\testing\IFeeder.java,4,20,0.0,1,0,2,0,0,0.0,0,4,2,23,0,1.15,0.0,2,0,2,0,0,0,0.575,0,false
storm-core\src\jvm\storm\trident\state\map\MapCombinerAggStateUpdater.java,4,71,0.0,7,6,1,23,13,0.5,13,4,2,83,0,1.1690141,0.0,2,0,2,0,0,0,0.58450705,1,false
storm-core\src\jvm\storm\trident\util\IndexedEdge.java,4,42,0.0,5,3,5,2,2,0.16666667,2,4,2,50,0,1.1904762,0.0,2,0,2,0,0,0,0.5952381,0,false
external\storm-hdfs\src\main\java\org\apache\storm\hdfs\bolt\format\DefaultFileNameFormat.java,4,72,0.3472222,6,5,6,4,3,0.6666667,2,1,0,0,0,0.0,0.0,1,1,1,1,0,0,NaN,0,false
storm-core\src\jvm\backtype\storm\tuple\MessageId.java,4,83,0.0,15,1,5,3,3,0.41666666,15,4,2,98,0,1.1807228,0.0,2,0,2,0,0,0,0.5903614,1,false
storm-core\src\jvm\backtype\storm\serialization\GzipBridgeSerializationDelegate.java,4,52,0.17307693,8,4,1,6,5,0.4375,6,1,0,118,118,2.2692308,2.2692308,6,6,2,2,0,0,0.37820512,3,false
storm-core\src\jvm\storm\trident\operation\ReducerAggregator.java,4,23,0.0,2,0,9,3,2,0.0,0,4,2,26,0,1.1304348,0.0,2,0,2,0,0,0,0.5652174,0,false
storm-core\src\jvm\backtype\storm\messaging\netty\StormServerHandler.java,4,58,0.0,6,3,2,10,9,0.33333334,10,3,1,95,0,1.637931,0.0,4,0,2,0,0,0,0.545977,1,false
storm-core\src\jvm\backtype\storm\serialization\KryoTupleSerializer.java,4,44,0.20454545,3,3,0,10,7,0.0,12,4,2,60,0,1.3636364,0.0,2,0,2,0,0,0,0.6818182,0,false
storm-core\src\jvm\backtype\storm\hooks\info\BoltAckInfo.java,4,28,0.035714287,1,3,2,2,1,0.0,0,4,2,32,0,1.1428572,0.0,2,0,2,0,0,0,0.5714286,0,false
storm-core\src\jvm\backtype\storm\state\ISynchronizeOutputCollector.java,4,21,0.0,1,0,2,0,0,0.0,0,4,2,24,0,1.1428572,0.0,2,0,2,0,0,0,0.5714286,0,false
external\storm-kafka\src\jvm\storm\kafka\trident\IBrokerReader.java,4,21,0.0,2,0,5,1,1,0.0,0,2,1,17,0,0.8095238,0.0,2,0,1,0,0,0,0.8095238,0,false
external\storm-hdfs\src\main\java\org\apache\storm\hdfs\trident\format\DefaultSequenceFormat.java,4,59,0.084745765,7,4,1,5,5,0.7,3,1,0,17,17,0.2881356,0.2881356,2,2,1,1,0,0,0.2881356,0,false
storm-core\src\jvm\backtype\storm\utils\ServiceRegistry.java,4,40,0.025,3,2,3,0,0,0.0,5,4,2,47,0,1.175,0.0,2,0,2,0,0,0,0.5875,2,false
storm-core\src\jvm\backtype\storm\generated\TopologyInitialStatus.java,4,50,0.24,5,1,2,1,1,0.0,0,4,2,65,0,1.3,0.0,3,0,2,0,0,0,0.4333333,5,false
storm-core\src\jvm\storm\trident\operation\builtin\Sum.java,4,34,0.0,3,0,0,4,3,0.0,2,4,2,42,0,1.2352941,0.0,2,0,2,0,0,0,0.61764705,0,false
storm-core\src\jvm\storm\trident\state\Serializer.java,4,22,0.0,2,0,3,2,2,0.0,0,4,2,26,0,1.1818181,0.0,2,0,2,0,0,0,0.59090906,0,false
external\storm-kafka\src\jvm\storm\kafka\trident\mapper\TridentTupleToKafkaMapper.java,4,24,0.0,2,0,4,3,3,0.0,0,1,0,28,28,1.1666666,1.1666666,1,1,1,1,0,0,1.1666666,1,false
storm-core\src\jvm\storm\trident\operation\impl\ReducerAggStateUpdater.java,4,44,0.0,4,1,1,11,8,0.5,2,4,2,53,0,1.2045455,0.0,2,0,2,0,0,0,0.60227275,2,false
storm-core\src\jvm\backtype\storm\generated\ExecutorInfo.java,4,360,0.08611111,11,3,0,1,1,0.6111111,5,4,2,497,0,1.3805555,0.0,3,0,2,0,0,0,0.4601852,46,false
storm-core\src\jvm\backtype\storm\testing\OpaqueMemoryTransactionalSpout.java,4,154,0.032467533,2,0,0,2,1,0.0,0,4,2,186,0,1.2077922,0.0,2,0,2,0,0,0,0.6038961,4,false
storm-core\src\jvm\backtype\storm\security\serialization\BlowfishTupleSerializer.java,4,76,0.13157895,7,3,1,11,10,0.41666666,16,4,2,89,0,1.1710526,0.0,2,0,2,0,0,0,0.5855263,4,true
storm-core\src\jvm\backtype\storm\testing\KeyedCountingCommitterBolt.java,4,20,0.0,0,0,0,3,2,0.0,0,4,2,24,0,1.2,0.0,2,0,2,0,0,0,0.6,0,false
storm-core\src\jvm\backtype\storm\transactional\TransactionAttempt.java,4,48,0.020833334,9,2,19,1,1,0.35714287,2,4,2,61,0,1.2708334,0.0,2,0,2,0,0,0,0.6354167,2,false
storm-core\src\jvm\storm\trident\util\TridentUtils.java,4,127,0.023622047,24,2,9,14,12,0.7777778,25,4,1,154,0,1.2125984,0.0,4,0,3,0,0,0,0.3031496,5,false
external\storm-hbase\src\main\java\org\apache\storm\hbase\trident\mapper\TridentHBaseMapper.java,4,38,0.42105263,2,0,4,3,3,0.0,0,1,0,18,18,0.47368422,0.47368422,2,2,1,1,0,0,0.47368422,1,true
storm-core\src\jvm\backtype\storm\testing\IdentityBolt.java,4,36,0.0,3,1,0,10,5,0.33333334,3,4,2,42,0,1.1666666,0.0,2,0,2,0,0,0,0.5833333,0,false
storm-core\src\jvm\storm\trident\planner\processor\MultiReducerProcessor.java,4,82,0.0,9,6,1,16,11,0.5,19,4,2,93,0,1.1341463,0.0,2,0,2,0,0,0,0.56707317,0,false
storm-core\src\jvm\backtype\storm\hooks\info\SpoutAckInfo.java,4,27,0.037037037,1,3,2,0,0,0.0,0,4,2,30,0,1.1111112,0.0,2,0,2,0,0,0,0.5555556,0,false
storm-core\src\jvm\backtype\storm\multilang\NoOutputException.java,4,34,0.11764706,4,0,1,0,0,0.0,0,2,1,50,0,1.4705882,0.0,5,0,2,0,0,0,0.29411766,0,false
external\storm-kafka\src\jvm\storm\kafka\Partition.java,4,55,0.018181818,9,2,16,3,3,0.25,3,2,0,26,9,0.47272727,0.16363636,3,1,2,1,0,0,0.23636363,0,false
storm-core\src\jvm\storm\trident\planner\ProcessorNode.java,4,28,0.035714287,1,3,3,4,3,0.33333334,0,4,2,33,0,1.1785715,0.0,2,0,2,0,0,0,0.58928573,0,false
external\storm-hdfs\src\main\java\org\apache\storm\hdfs\trident\HdfsStateFactory.java,4,39,0.0,3,2,3,8,7,0.5,3,1,0,17,17,0.43589744,0.43589744,2,2,1,1,0,0,0.43589744,2,false
storm-core\src\jvm\backtype\storm\topology\IRichSpout.java,4,24,0.20833333,0,0,9,3,2,0.0,0,4,2,29,0,1.2083334,0.0,2,0,2,0,0,0,0.6041667,0,false
storm-core\src\jvm\backtype\storm\generated\DRPCExecutionException.java,4,280,0.092857145,10,3,0,1,1,0.6111111,5,4,2,391,0,1.3964286,0.0,3,0,2,0,0,0,0.46547619,33,false
storm-core\src\jvm\backtype\storm\generated\NullStruct.java,4,192,0.109375,28,2,5,17,7,0.9722222,22,4,2,274,0,1.4270834,0.0,3,0,2,0,0,0,0.47569445,30,false
storm-core\src\jvm\storm\trident\state\map\CachedMap.java,4,68,0.073529415,9,2,1,5,4,0.25,13,4,2,79,0,1.1617647,0.0,2,0,2,0,0,0,0.5808824,0,false
storm-core\src\jvm\backtype\storm\testing\TestKryoDecorator.java,4,27,0.0,1,0,0,3,3,0.0,1,4,2,31,0,1.1481482,0.0,2,0,2,0,0,0,0.5740741,3,false
storm-core\src\jvm\backtype\storm\metric\api\IReducer.java,4,22,0.0,3,0,7,1,1,0.0,0,4,2,24,0,1.0909091,0.0,2,0,2,0,0,0,0.54545456,0,false
external\storm-hdfs\src\main\java\org\apache\storm\hdfs\bolt\rotation\NoRotationPolicy.java,4,30,0.13333334,2,0,0,2,2,0.0,0,1,0,0,0,0.0,0.0,1,1,1,1,0,0,NaN,1,false
storm-core\src\jvm\backtype\storm\testing\FixedTuple.java,4,36,0.0,3,2,3,0,0,0.0,1,4,2,42,0,1.1666666,0.0,2,0,2,0,0,0,0.5833333,0,false
external\storm-kafka\src\jvm\storm\kafka\PartitionCoordinator.java,4,23,0.0,3,0,5,2,2,0.0,0,2,1,19,0,0.82608694,0.0,3,0,2,0,0,0,0.41304347,0,false
storm-core\src\jvm\backtype\storm\testing\CompleteTopologyParam.java,4,58,0.25862068,8,4,0,3,2,0.75,0,4,2,167,0,2.8793104,0.0,2,0,2,0,0,0,1.4396552,0,false
storm-core\src\jvm\storm\trident\operation\impl\CombinerAggStateUpdater.java,4,47,0.0,5,1,1,12,9,0.5,6,4,2,56,0,1.1914893,0.0,2,0,2,0,0,0,0.59574467,2,false
external\storm-kafka\src\jvm\storm\kafka\bolt\selector\DefaultTopicSelector.java,4,28,0.0,2,1,1,2,2,0.0,0,1,0,44,44,1.5714285,1.5714285,2,2,1,1,0,0,0.78571427,0,false
external\storm-hbase\src\test\java\org\apache\storm\hbase\topology\WordSpout.java,4,69,0.0,12,3,2,8,6,0.8611111,5,1,0,0,0,0.0,0.0,1,1,1,1,0,0,NaN,6,false
examples\storm-starter\src\jvm\storm\starter\bolt\IntermediateRankingsBolt.java,4,48,0.125,5,2,4,8,7,0.9,4,2,1,17,0,0.35416666,0.0,2,0,1,0,0,0,0.35416666,0,false
storm-core\src\jvm\backtype\storm\utils\LocalState.java,4,89,0.04494382,16,2,1,10,5,0.75,18,4,0,156,66,1.752809,0.74157304,4,2,3,2,1,1,0.43820226,1,false
storm-core\src\jvm\storm\trident\testing\Split.java,4,31,0.0,3,0,0,7,5,0.0,4,4,2,36,0,1.1612903,0.0,2,0,2,0,0,0,0.58064514,0,false
examples\storm-starter\test\jvm\storm\starter\tools\RankingsTest.java,4,263,0.17110266,41,11,0,6,6,0.86181825,21,2,1,17,0,0.064638786,0.0,2,0,1,0,0,0,0.064638786,3,false
storm-core\src\jvm\backtype\storm\metric\api\rpc\ReducedShellMetric.java,4,27,0.0,2,0,0,3,3,0.0,1,1,0,32,32,1.1851852,1.1851852,1,1,1,1,0,0,1.1851852,0,false
storm-core\src\jvm\backtype\storm\metric\api\IMetricsConsumer.java,4,56,0.0,2,6,0,0,0,0.5,0,4,2,60,0,1.0714285,0.0,2,0,2,0,0,0,0.53571427,6,false
external\storm-kafka\src\jvm\storm\kafka\trident\TridentKafkaStateFactory.java,4,47,0.0,3,3,2,9,8,0.44444445,5,1,0,71,71,1.5106384,1.5106384,3,3,1,1,0,0,0.50354606,0,false
external\storm-hdfs\src\main\java\org\apache\storm\hdfs\bolt\format\RecordFormat.java,4,26,0.1923077,1,0,4,2,2,0.0,0,1,0,0,0,0.0,0.0,1,1,1,1,0,0,NaN,0,false
storm-core\src\jvm\backtype\storm\topology\BasicBoltExecutor.java,4,56,0.0,8,3,6,15,12,0.5555556,11,4,2,67,0,1.1964285,0.0,2,0,2,0,0,0,0.59821427,1,false
storm-core\src\jvm\backtype\storm\generated\RebalanceOptions.java,4,476,0.077731095,12,3,0,1,1,0.6111111,5,4,2,642,0,1.3487395,0.0,3,0,2,0,0,0,0.44957983,73,false
storm-core\src\jvm\backtype\storm\clojure\RichShellBolt.java,4,45,0.0,5,1,0,8,5,0.33333334,5,4,2,51,0,1.1333333,0.0,2,0,2,0,0,0,0.56666666,1,false
storm-core\src\jvm\backtype\storm\scheduler\ExecutorDetails.java,4,45,0.0,10,2,7,1,1,0.16666667,0,4,2,128,0,2.8444445,0.0,2,0,2,0,0,0,1.4222223,3,false
storm-core\src\jvm\storm\trident\spout\IOpaquePartitionedTridentSpout.java,4,53,0.28301886,3,0,0,1,1,0.0,0,4,2,62,0,1.1698114,0.0,2,0,2,0,0,0,0.5849057,4,false
storm-core\src\jvm\backtype\storm\testing\FeederSpout.java,4,83,0.0,15,4,2,12,8,0.77272725,12,4,2,100,0,1.2048193,0.0,2,0,2,0,0,0,0.60240966,1,false
examples\storm-starter\src\jvm\storm\starter\ReachTopology.java,4,169,0.09467456,4,0,0,10,6,0.0,5,2,1,23,0,0.13609467,0.0,4,0,2,0,0,0,0.04536489,3,false
storm-core\src\jvm\backtype\storm\messaging\netty\MessageBatch.java,4,106,0.28301886,19,3,8,6,5,0.53333336,17,3,1,211,0,1.990566,0.0,4,0,3,0,0,0,0.66352206,12,false
storm-core\src\jvm\backtype\storm\StormSubmitter.java,4,270,0.37037036,3,0,0,0,0,0.0,0,4,0,461,16,1.7074074,0.05925926,17,1,7,1,2,0,0.100435734,12,true
storm-core\src\jvm\backtype\storm\testing\MemoryTransactionalSpout.java,4,152,0.019736841,10,2,0,10,6,0.625,14,4,2,181,0,1.1907895,0.0,2,0,2,0,0,0,0.59539473,6,false
storm-core\src\jvm\backtype\storm\planner\TaskBundle.java,4,27,0.0,1,2,0,1,1,0.0,0,4,2,33,0,1.2222222,0.0,2,0,2,0,0,0,0.6111111,0,false
external\storm-hbase\src\main\java\org\apache\storm\hbase\trident\state\HBaseStateFactory.java,4,33,0.0,2,1,1,6,5,0.0,1,1,0,0,0,0.0,0.0,1,1,1,1,0,0,NaN,0,true
storm-core\src\jvm\backtype\storm\utils\IndifferentAccessMap.java,4,136,0.036764707,37,1,2,8,8,0.93333334,27,4,2,177,0,1.3014706,0.0,2,0,2,0,0,0,0.6507353,7,false
storm-core\src\jvm\backtype\storm\testing\BatchProcessWord.java,4,33,0.0,2,0,0,10,6,0.0,5,4,2,39,0,1.1818181,0.0,2,0,2,0,0,0,0.59090906,0,false
external\storm-hdfs\src\main\java\org\apache\storm\hdfs\trident\HdfsState.java,4,280,0.0,13,11,0,11,10,0.80303025,17,1,0,17,17,0.060714286,0.060714286,4,4,1,1,0,0,0.060714286,6,true
external\storm-hbase\src\main\java\org\apache\storm\hbase\common\ColumnList.java,4,163,0.42944786,15,2,8,7,7,0.5909091,13,1,0,0,0,0.0,0.0,1,1,1,1,0,0,NaN,5,true
storm-core\src\jvm\backtype\storm\transactional\partitioned\IOpaquePartitionedTransactionalSpout.java,4,48,0.33333334,2,0,6,6,5,0.0,0,4,2,56,0,1.1666666,0.0,2,0,2,0,0,0,0.5833333,2,false
storm-core\src\jvm\storm\trident\state\JSONNonTransactionalSerializer.java,4,37,0.0,4,0,0,2,2,0.0,3,4,2,44,0,1.1891892,0.0,2,0,2,0,0,0,0.5945946,0,false
storm-core\src\jvm\backtype\storm\scheduler\IScheduler.java,4,33,0.36363637,2,0,2,2,2,0.0,0,4,2,40,0,1.2121212,0.0,2,0,2,0,0,0,0.6060606,0,false
storm-core\src\jvm\backtype\storm\generated\NotAliveException.java,4,280,0.092857145,10,3,0,1,1,0.6111111,5,4,2,391,0,1.3964286,0.0,3,0,2,0,0,0,0.46547619,33,false
storm-core\src\jvm\backtype\storm\spout\RawMultiScheme.java,4,31,0.0,2,0,1,5,3,0.0,2,4,2,38,0,1.2258065,0.0,2,0,2,0,0,0,0.61290324,0,false
storm-core\src\jvm\backtype\storm\scheduler\SchedulerAssignment.java,4,45,0.51111114,6,0,6,2,2,0.0,0,4,2,138,0,3.0666666,0.0,2,0,2,0,0,0,1.5333333,6,false
storm-core\src\jvm\storm\trident\operation\builtin\Equals.java,4,32,0.0,7,0,0,4,3,0.0,3,4,2,38,0,1.1875,0.0,2,0,2,0,0,0,0.59375,0,false
storm-core\src\jvm\storm\trident\operation\builtin\MapGet.java,4,33,0.0,2,0,0,8,5,0.0,2,4,2,38,0,1.1515151,0.0,2,0,2,0,0,0,0.57575756,0,false
storm-core\src\jvm\storm\trident\topology\ITridentBatchBolt.java,4,29,0.0,5,0,5,7,5,0.0,0,4,2,32,0,1.1034483,0.0,2,0,2,0,0,0,0.55172414,0,false
storm-core\src\jvm\storm\trident\operation\impl\JoinerMultiReducer.java,4,134,0.03731343,2,4,0,3,2,0.25,0,4,2,159,0,1.1865672,0.0,2,0,2,0,0,0,0.5932836,2,false
external\storm-kafka\src\jvm\storm\kafka\ZkCoordinator.java,4,95,0.0,11,13,3,12,12,0.6923077,16,2,1,20,0,0.21052632,0.0,3,0,2,0,0,0,0.10526316,4,false
storm-core\src\jvm\backtype\storm\spout\ShellSpout.java,4,215,0.018604651,3,1,0,1,1,0.0,4,4,0,843,393,3.9209301,1.827907,29,18,9,5,2,2,0.15683721,5,true
storm-core\src\jvm\backtype\storm\metric\api\rpc\AssignableShellMetric.java,4,26,0.0,2,0,0,2,2,0.0,1,1,0,30,30,1.1538461,1.1538461,1,1,1,1,0,0,1.1538461,0,false
examples\storm-starter\test\jvm\storm\starter\tools\NthLastModifiedTimeTrackerTest.java,4,96,0.083333336,10,2,1,6,5,0.8888889,8,2,1,17,0,0.17708333,0.0,2,0,1,0,0,0,0.17708333,0,false
storm-core\src\jvm\backtype\storm\metric\api\rpc\CombinedShellMetric.java,4,27,0.0,2,0,0,3,3,0.0,1,1,0,31,31,1.1481482,1.1481482,1,1,1,1,0,0,1.1481482,0,false
storm-core\src\jvm\backtype\storm\metric\api\IMetric.java,4,20,0.0,1,0,17,0,0,0.0,0,4,2,22,0,1.1,0.0,2,0,2,0,0,0,0.55,1,false
external\storm-hbase\src\main\java\org\apache\storm\hbase\bolt\HBaseLookupBolt.java,4,71,0.08450704,7,3,2,13,13,0.59999996,12,1,0,2,2,0.028169014,0.028169014,2,2,2,2,0,0,0.028169014,1,true
external\storm-kafka\src\jvm\storm\kafka\trident\OpaqueTridentKafkaSpout.java,4,46,0.0,5,2,0,11,9,0.5,4,2,1,17,0,0.36956522,0.0,2,0,1,0,0,0,0.36956522,2,true
external\storm-hdfs\src\main\java\org\apache\storm\hdfs\bolt\sync\SyncPolicy.java,4,36,0.44444445,2,0,10,1,1,0.0,0,1,0,0,0,0.0,0.0,1,1,1,1,0,0,NaN,0,false
storm-core\src\jvm\backtype\storm\spout\Scheme.java,4,24,0.0,2,0,5,3,2,0.0,0,4,2,28,0,1.1666666,0.0,2,0,2,0,0,0,0.5833333,2,false
storm-core\src\jvm\backtype\storm\metric\api\ICombiner.java,4,21,0.0,2,0,6,1,1,0.0,0,4,2,23,0,1.0952381,0.0,2,0,2,0,0,0,0.54761904,2,false
storm-core\src\jvm\backtype\storm\metric\api\IStatefulObject.java,4,20,0.0,1,0,4,0,0,0.0,0,4,2,22,0,1.1,0.0,2,0,2,0,0,0,0.55,0,false
storm-core\src\jvm\backtype\storm\topology\base\BaseBatchBolt.java,4,21,0.0,0,0,10,4,3,0.0,0,4,2,25,0,1.1904762,0.0,2,0,2,0,0,0,0.5952381,2,false
external\storm-kafka\src\jvm\storm\kafka\trident\IBatchCoordinator.java,4,22,0.0,2,0,3,0,0,0.0,0,2,1,17,0,0.77272725,0.0,2,0,1,0,0,0,0.77272725,0,false
examples\storm-starter\src\jvm\storm\starter\util\TupleHelpers.java,4,27,0.0,2,0,2,2,1,0.0,3,2,1,17,0,0.6296296,0.0,2,0,1,0,0,0,0.6296296,0,false
storm-core\src\jvm\storm\trident\state\OpaqueValue.java,4,64,0.0,14,3,7,2,2,0.45833334,3,4,2,83,0,1.296875,0.0,3,0,3,0,0,0,0.43229166,2,false
storm-core\src\jvm\backtype\storm\security\auth\digest\ServerCallbackHandler.java,4,98,0.06122449,19,5,2,4,2,0.6333333,30,4,2,114,0,1.1632653,0.0,2,0,2,0,0,0,0.5816327,4,false
storm-core\src\jvm\backtype\storm\spout\ISchemableSpout.java,4,21,0.0,2,0,0,1,1,0.0,0,4,2,24,0,1.1428572,0.0,2,0,2,0,0,0,0.5714286,0,false
storm-core\src\jvm\backtype\storm\generated\ComponentCommon.java,4,615,0.0699187,13,3,0,1,1,0.6111111,5,4,2,824,0,1.3398374,0.0,3,0,2,0,0,0,0.44661245,98,false
storm-core\src\jvm\backtype\storm\coordination\BatchOutputCollector.java,4,36,0.22222222,5,0,28,1,1,0.0,2,4,2,46,0,1.2777778,0.0,2,0,2,0,0,0,0.6388889,0,false
external\storm-kafka\src\jvm\storm\kafka\trident\selector\DefaultTopicSelector.java,4,28,0.0,2,1,2,2,2,0.0,0,1,0,44,44,1.5714285,1.5714285,2,2,1,1,0,0,0.78571427,0,false
storm-core\src\jvm\storm\trident\spout\PartitionedTridentSpoutExecutor.java,4,141,0.028368793,6,1,0,5,4,0.2,4,4,2,171,0,1.2127659,0.0,2,0,2,0,0,0,0.60638297,1,false
storm-core\src\jvm\backtype\storm\metric\api\MeanReducer.java,4,49,0.0,7,0,2,2,2,0.0,3,4,2,55,0,1.1224489,0.0,2,0,2,0,0,0,0.56122446,2,false
external\storm-kafka\src\test\storm\kafka\KafkaTestBroker.java,4,81,0.049382716,8,5,6,7,7,0.4,15,2,1,79,0,0.97530866,0.0,6,0,4,0,1,0,0.19506173,0,false
storm-core\src\jvm\backtype\storm\serialization\SerializationFactory.java,4,199,0.015075377,27,1,3,18,17,0.6666667,25,4,2,224,0,1.1256281,0.0,2,0,2,0,0,0,0.56281406,10,false
storm-core\src\jvm\storm\trident\operation\impl\GlobalBatchToPartition.java,4,23,0.04347826,1,0,1,1,1,0.0,0,4,2,29,0,1.2608696,0.0,2,0,2,0,0,0,0.6304348,0,false
storm-core\src\jvm\backtype\storm\utils\WritableUtils.java,4,312,0.41666666,58,0,1,2,2,0.0,30,4,2,375,0,1.2019231,0.0,2,0,2,0,0,0,0.60096157,18,false
external\storm-hbase\src\main\java\org\apache\storm\hbase\trident\state\HBaseMapState.java,4,210,0.0,8,2,0,12,11,0.0,3,1,0,17,17,0.08095238,0.08095238,2,2,1,1,0,0,0.08095238,4,true
external\storm-kafka\src\jvm\storm\kafka\KeyValueScheme.java,4,22,0.0,1,0,2,3,2,0.0,0,2,1,17,0,0.77272725,0.0,2,0,1,0,0,0,0.77272725,1,false
storm-core\src\jvm\storm\trident\state\ValueUpdater.java,4,20,0.0,1,0,13,1,1,0.0,0,4,2,23,0,1.15,0.0,2,0,2,0,0,0,0.575,0,false
storm-core\src\jvm\backtype\storm\generated\Grouping.java,4,596,0.04194631,17,3,0,1,1,0.6111111,5,4,2,791,0,1.3271812,0.0,3,0,2,0,0,0,0.44239372,57,false
external\storm-kafka\src\test\storm\kafka\KafkaErrorTest.java,4,46,0.08695652,5,0,0,2,2,0.0,4,2,1,17,0,0.36956522,0.0,2,0,1,0,0,0,0.36956522,0,false
examples\storm-starter\src\jvm\storm\starter\WordCountTopology.java,4,85,0.03529412,3,0,0,15,11,0.0,12,2,1,23,0,0.27058825,0.0,4,0,2,0,0,0,0.09019607,3,false
external\storm-hdfs\src\main\java\org\apache\storm\hdfs\common\security\HdfsSecurityUtil.java,4,42,0.0952381,4,2,4,5,1,0.0,4,1,0,0,0,0.0,0.0,2,2,1,1,0,0,NaN,1,true
storm-core\src\jvm\backtype\storm\topology\base\BaseRichBolt.java,4,23,0.0,1,0,11,2,2,0.0,0,4,2,26,0,1.1304348,0.0,2,0,2,0,0,0,0.5652174,1,false
storm-core\src\jvm\backtype\storm\ILocalCluster.java,4,42,0.0,13,0,2,12,6,0.0,0,4,2,47,0,1.1190476,0.0,2,0,2,0,0,0,0.5595238,0,false
examples\storm-starter\src\jvm\storm\starter\PrintSampleStream.java,4,44,0.0,1,0,0,7,5,0.0,9,2,0,47,4,1.0681819,0.09090909,6,1,3,1,1,1,0.21363635,1,false
storm-core\src\jvm\storm\trident\planner\processor\TridentContext.java,4,63,0.015873017,8,7,10,7,4,0.75,0,4,2,76,0,1.2063493,0.0,2,0,2,0,0,0,0.6031746,0,false
external\storm-hdfs\src\main\java\org\apache\storm\hdfs\trident\rotation\FileRotationPolicy.java,4,41,0.5121951,2,0,9,1,1,0.0,0,1,0,0,0,0.0,0.0,1,1,1,1,0,0,NaN,0,false
external\storm-hbase\src\main\java\org\apache\storm\hbase\trident\mapper\SimpleTridentHBaseMapper.java,4,73,0.05479452,11,5,2,8,8,0.7714286,7,1,0,0,0,0.0,0.0,1,1,1,1,0,0,NaN,5,true
storm-core\src\jvm\storm\trident\operation\impl\IdentityMultiReducer.java,4,41,0.0,5,0,1,5,4,0.0,1,4,2,51,0,1.2439024,0.0,2,0,2,0,0,0,0.6219512,3,false
storm-core\src\jvm\backtype\storm\drpc\JoinResult.java,4,65,0.0,7,5,2,14,9,0.65,13,4,2,75,0,1.1538461,0.0,2,0,2,0,0,0,0.5769231,1,false
external\storm-kafka\src\jvm\storm\kafka\trident\StaticBrokerReader.java,4,30,0.0,3,1,1,2,2,0.33333334,0,2,1,17,0,0.56666666,0.0,2,0,1,0,0,0,0.56666666,1,false
examples\storm-starter\src\jvm\storm\starter\bolt\PrinterBolt.java,4,30,0.0,2,0,1,8,4,0.0,1,2,1,17,0,0.56666666,0.0,2,0,1,0,0,0,0.56666666,1,false
storm-core\src\jvm\storm\trident\topology\BatchInfo.java,4,28,0.0,1,3,5,2,1,0.0,0,4,2,33,0,1.1785715,0.0,2,0,2,0,0,0,0.58928573,0,false
storm-core\src\jvm\backtype\storm\task\ShellBolt.java,4,324,0.10493827,9,0,0,4,3,0.0,16,4,0,1563,789,4.8240743,2.4351852,38,25,11,8,2,2,0.15561529,14,true
external\storm-kafka\src\jvm\storm\kafka\bolt\mapper\FieldNameBasedTupleToKafkaMapper.java,4,39,0.025641026,5,4,1,4,4,0.625,2,1,0,52,52,1.3333334,1.3333334,2,2,1,1,0,0,0.6666667,0,false
external\storm-hdfs\src\main\java\org\apache\storm\hdfs\trident\sync\SyncPolicy.java,4,36,0.44444445,2,0,1,1,1,0.0,0,1,0,0,0,0.0,0.0,1,1,1,1,0,0,NaN,0,false
